speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Bima,Dara,"Ra, kamu masih saja pisahkan? Itu mubazir, kamu tahu?","Bim, ini karena tak segar.",Bagaimana tidak segar? Aku selalu makan. Kumakan sekarang kalau tak percaya. Mana yang jelek?,Jangan!,Apa? Aku mau.
Mama Dara,Dara,Kapan kalian berpacaran?,"Sudahlah, Ma.",Tak apa-apa. Dia sopan. Sepertinya dia baik.,Dia hanya teman!,"Masa, sih?"
Puput,Dara,"Bantu aku, ya, Kak? Awas kalau tidak.",Malas.,Ih!,Puput! Itu tidak lucu. Kugigit kamu.,"Galak sekali! Sedang haid, ya?"
Bima,Ojek,Sudah lengkap?,"Roti, kacang... Tespek...",Ini uangnya. Berapa?,Totalnya 120.000.,"Ini 150.000, ambil kembaliannya."
Ibu Bima,Bima,Bagaimana bisa motor tertinggal?,"Lupa, Bu.","Bima, tak ada orang pulang yang lupa membawa pulang motornya. Kamu aneh sekali.","Serius, aku lupa.","Jangan-jangan... Kamu pakai narkoba dan menjual motormu?
"
Ibu Bima,Bapak Bima,"Anak kita memakai narkoba, seperti Rizki! Anak Bu Ani!",Anak Bu Encim atau Bu Ani?,Bu Ani!,Itu tak sama dengan anak kita. Pipi setembam ini tak mungkin narkoba.,"Bisa saja! Perhatikan dia, Pak!"
Bapak Bima,Ibu Bima,"Ada masalah di sekolah? Ada masalah dengan guru-gurumu atau wali kelasmu? Atau jangan-jangan... ini ada masalah dengan percintaan. Kamu putus dengan... Siapa namanya? Namanya Dara, 'kan?","Kamu berpacaran? Ibu sudah bilang berkali-kali, jangan berpacaran! Lihat yang terjadi!
","Bu, sudah.",Kamu tak mendengarkan kata Ibu!,"Bu, sudah. Biar dia makan dulu."
Bapak Bima,Bima,Anak lelaki itu jangan mau menangis karena perempuan.  Bapak malu jika kamu cengeng begini.,"Bima yang salah, Pak.","Kamu masih sayang dia? Gampang kalau begitu. Kalau kamu salah, minta maaf. Minta maaf kalau salah. Gampang, 'kan? Tapi jangan beri tahu Ibu kalau Bapak mengatakan ini.","Tapi ini masalah besar.
","Bim. Kalau sudah jodoh, tak akan ke mana-mana."
Bima,Dara,Maaf aku berengsek sampai meninggalkanmu. Aku berjanji tidak akan...,Apa? Aku sudah memikirkannya. Kamu cukup mencari tempatnya. Aku tak mau minum obat.,Aku bisa tanya ke Mbak Mila.,Mbak Mila?,Dia tetanggaku. Dia pernah... aborsi.
Bapak Bima,Bima,Astagfirullah! Bima! Bapak menunggumu. Di mana titipan obatnya?,"Ya, Pak. Di mana itu? Maaf. Ini, Pak.",Sudah salat?,Aku mau ke...,"Kalau sudah dengar azan, harus segera ke musala. Paham, semuanya?"
Dara,Bima,"Dulu... Waktu Mama mengandung Puput... aku sering memegang perutnya. Kalau aku bernyanyi atau bercerita, atau bercerita, Puput bergerak di dalam perut Mama.",Lantas sekarang kamu mau apa?,"Aku juga bingung, Bim. Tapi aku tak mungkin membunuh bayi ini. Aku tak bisa.","Aku serius, Ra. Aku serius waktu bilang takkan meninggalkanmu lagi. Mari merahasiakannya sampai lulus SMA. Tetanggaku, Lin, dia pernah begini. Dia mengikat perutnya agar tampak kecil. Tiba-tiba, dia sudah melahirkan.",Bagaimana dengan orang tua kita?
Dara,Bima,Menurut kamu... Perut aku akan sebesar ini?,"Ini seperti pertanyaan jebakan, ya? ""Kamu gendut atau tidak?""
",Memangnya menurutmu aku masih bisa ke sekolah jika perutku sudah sebesar ini?,Lihat. Sekarang bulan Desember. Berarti sudah berapa minggu?,Dua belas.
Bima,Ibu Bima,"Bima mau sekolah yang baik. Mau kuliah dengan baik. Kata Dara, aku...","Jadi, kata Dara. Katanya sudah putus? Bersama lagi?",Bukan itu maksudku.,"Jadi, karena Dara?","Bukan, Bu. Dara mau kuliah di Korea."
